O'Kaysions
Aretha Franklin
Lemon Pipers
1910 Fruitgum Company
Friend and Lover
Rolling Stones
Richard Harris
Jose Feliciano
People
Percy Sledge
Status Quo
Blue Cheer
Marvin Gaye and Tammi Terrell
James Brown and The Famous Flames
Bee Gees
Beatles
Donovan
Steppenwolf
Fireballs
Dells
Willie Mitchell
Tom Jones
Human Beinz
Sam and Dave
Sergio Mendes and Brasil '66
Eric Burdon and The Animals
Cowsills
Tommy Boyce and Bobby Hart
Gary Puckett and The Union Gap
Lettermen
Stevie Wonder
Irish Rovers
Vanilla Fudge
Beatles
Gary Puckett and The Union Gap
Turtles
Cream
Marvin Gaye and Tammi Terrell
Foundations
Sweet Inspirations
Smokey Robinson and The Miracles
Mills Brothers
Chambers Brothers
Dionne Warwick
Simon and Garfunkel
James Brown and The Famous Flames
Manfred Mann
Shorty Long
Aretha Franklin
Aretha Franklin
Gary Lewis and The Playboys
Big Brother and The Holding Company
Creedence Clearwater Revival
American Breed
Jerry Butler
Jerry Butler
Archies
Fifth Dimension
Temptations
Rolling Stones
Sly and The Family Stone
Tommy Roe
Sly and The Family Stone
Tom Jones
Foundations
Tommy James and The Shondells
Three Dog Night
Tommy James and The Shondells
Cowsills
Marvin Gaye
Henry Mancini and His Orch.
Youngbloods
Friends Of Distinction
Elvis Presley
Creedence Clearwater Revival
Jr. Walker and The All Stars
Isley Brothers
Neil Diamond
Oliver
Creedence Clearwater Revival
Beatles
Zager and Evans
"Blood, Sweat and Tears"
Andy Kim
Friends Of Distinction
Lettermen
Creedence Clearwater Revival
Stevie Wonder
Three Dog Night
Smith
Elvis Presley
Johnny Cash
Smokey Robinson and The Miracles
Jerry Butler
Zombies
Fifth Dimension
Bobby Sherman
Mercy
Oliver
Guess Who
"Blood, Sweat and Tears"
Jackie DeShannon
Watts 103rd Street Rhythm Band
Grass Roots
Doors
Spiral Starecase
Sammy Davis Jr.
Bob Dylan
Donovan
Dennis Yost and The Classics IV
Mama Cass Elliot
Jay and The Americans
Temptations
Ventures
Glen Campbell
Lou Christie
Ray Stevens
Tyrone Davis
Booker T and The MG's
Dionne Warwick
Winstons
"Sonny Charles and The Checkmates, Ltd."
1910 Fruitgum Company
James Brown
Edwin Starr
New Colony Six
Motherlode
Marvin Gaye
Nilsson
Brooklyn Bridge
Joe Simon
Flying Machine
Tony Joe White
Kenny Rogers and The First Edition
Joe South
Turtles
Cuff Links
Dells
Beatles
Gary Puckett and The Union Gap
Beatles
Bob Seger System
Diana Ross and The Supremes and The Temptations
Marvin Gaye
Crazy Elephant
Booker T and The MG's
Lou Rawls
Originals
Edwin Hawkins Singers
Tom Jones
Paul Revere and The Raiders
Guess Who
David Ruffin
Box Tops
B.J. Thomas
Box Tops
Simon and Garfunkel
Carpenters
Guess Who
B.J. Thomas
Edwin Starr
Diana Ross
Jackson 5
Rare Earth
Beatles
Freda Payne
Three Dog Night
Ray Stevens
Bread
Vanity Fare
Jackson 5
Jackson 5
Neil Diamond
Dawn
Sly and The Family Stone
Eric Burdon and War
Five Stairsteps
Norman Greenbaum
Melanie and The Edwin Hawkins Singers
Temptations
Moments
Jackson 5
Poppy Family
Free
Bobby Sherman
Sugarloaf
Stevie Wonder
Blues Image
Shocking Blue
John Lennon
Clarence Carter
Creedence Clearwater Revival
Brook Benton
Kenny Rogers and The First Edition
Chairmen Of The Board
Edison Lighthouse
Beatles
Anne Murray
Marmalade
Eddie Holman
Jaggerz
Hollies
Alive and Kicking
Badfinger
Simon and Garfunkel
Charles Wright and The Watts 103rd Street Rhythm Band
Tyrone Davis
Kinks
Mungo Jerry
R. Dean Taylor
Rare Earth
Bobby Sherman
Charles Wright and The Watts 103rd Street Rhythm Band
Four Tops
Chicago
Frijid Pink
Chicago
White Plains
Friends Of Distinction
Brotherhood Of Man
Carpenters
Mark Lindsay
James Taylor
Gene Chandler
Santana
Guess Who
Delfonics
Elvis Presley
Creedence Clearwater Revival
Ronnie Dyson
B.J. Thomas
Spinners
Bobbi Martin
Mountain
Ike and Tina Turner
Joe Cocker
Tee Set
Originals
Christie
100 Proof Aged In Soul
Ides Of March
Pipkins
Robin McNamara
Supremes
Creedence Clearwater Revival
Sandpipers
Temptations
Tom Jones
Pacific Gas and Electric
"Crosby, Stills, Nash and Young"
Dionne Warwick
New Seekers
Joe South
B.B. King
Glen Campbell
Aretha Franklin
Three Dog Night
Rod Stewart
Carole King
Osmonds
Bee Gees
Raiders
Donny Osmond
John Denver
Temptations
Dawn
Janis Joplin
Al Green
Honey Cone
Undisputed Truth
Cornelius Brothers and Sister Rose
Rolling Stones
James Taylor
Jean Knight
Lee Michaels
Joan Baez
Marvin Gaye
Paul and Linda McCartney
Bill Withers
Five Man Electrical Band
Tom Jones
Free Movement
Murray Head and The Trinidad Singers
Jerry Reed
Grass Roots
Carpenters
George Harrison
Donny Osmond
Ocean
Daddy Dewdrop
Carpenters
Gordon Lightfoot
Sammi Smith
Carpenters
Cher
Jackson 5
Lynn Anderson
"Hamilton, Joe Frank and Reynolds"
Ringo Starr
Nitty Gritty Dirt Band
Fuzz
Dramatics
Carly Simon
Stevie Wonder
Aretha Franklin
Helen Reddy
Osmonds
Aretha Franklin
Partridge Family
Tommy James
Ike and Tina Turner
Chicago
Bells
Stampeders
Lobo
Paul McCartney
Bread
Marvin Gaye
Brewer and Shipley
8th Day
Freda Payne
Rare Earth
Delaney and Bonnie and Friends
Freddy Hart
Three Dog Night
Honey Cone
Mac and Katie Kissoon
Andy Williams
Cat Stevens
Jerry Reed
Beginning Of The End
Olivia Newton-John
